City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Palatka,US,29.6486,-81.6376,79.11,49,0,1.01,clear sky
154,Mineiros,BR,-17.5694,-52.5511,69.57,74,98,3.42,overcast clouds
155,Avarua,CK,-21.2078,-159.775,77.05,61,62,21.85,broken clouds
156,Deputatskiy,RU,69.3,139.9,5.72,95,99,4.47,overcast clouds
157,Bonavista,CA,48.6499,-53.1147,46.45,60,93,15.88,overcast clouds
158,Tadine,NC,-21.55,167.8833,73.72,72,100,12.55,overcast clouds
159,Richards Bay,ZA,-28.783,32.0377,68.49,95,1,7.23,clear sky
160,Puerto Ayora,EC,-0.7393,-90.3518,73.36,91,85,4.0,overcast clouds
161,Bastrop,US,32.7562,-91.8724,80.58,33,0,4.61,clear sky
162,Mahebourg,MU,-20.4081,57.7,71.26,73,20,10.36,few clouds
163,Acari,PE,-15.4311,-74.6158,69.6,66,37,4.59,scattered clouds
164,Tautira,PF,-17.7333,-149.15,77.45,74,99,11.77,overcast clouds
165,Inongo,CD,-1.95,18.2667,68.43,96,100,2.8,overcast clouds
166,Nantucket,US,41.2835,-70.0995,55.15,80,100,35.03,overcast clouds
167,Leh,IN,34.1667,77.5833,44.85,46,0,3.67,clear sky
168,Ixtapa,MX,20.7,-105.2,83.23,78,100,5.64,overcast clouds
169,Tibiri,NE,13.5627,7.0485,85.15,55,24,17.98,few clouds
170,New Norfolk,AU,-42.7826,147.0587,52.92,73,99,2.13,overcast clouds
171,Nouadhibou,MR,20.931,-17.0347,73.26,77,0,13.69,clear sky
172,Zhezkazgan,KZ,47.8043,67.7144,36.21,35,0,11.05,clear sky
173,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,65,100,8.05,overcast clouds
174,Kidal,ML,18.4411,1.4078,94.15,22,35,6.15,scattered clouds
175,Xining,CN,36.6167,101.7667,42.82,62,100,4.68,overcast clouds
176,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
177,Puerto Madryn,AR,-42.7692,-65.0385,50.9,56,97,18.41,overcast clouds
178,Kodiak,US,57.79,-152.4072,50.7,73,93,12.57,overcast clouds
179,Boguchany,RU,58.3814,97.4531,28.11,91,100,4.72,overcast clouds
180,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.1,43,98,2.19,overcast clouds
181,Dikson,RU,73.5069,80.5464,30.56,94,100,20.76,light snow
182,Alice Springs,AU,-23.7,133.8833,75.22,34,100,9.22,overcast clouds
183,Lata,PT,40.1629,-8.3327,61.92,38,10,4.32,clear sky
184,Straumen,NO,63.8709,11.2999,48.2,90,100,13.13,overcast clouds
185,La Ronge,CA,55.1001,-105.2842,70.61,42,31,10.2,scattered clouds
186,Miyakonojo,JP,31.7333,131.0667,67.44,78,3,4.03,clear sky
187,Westerland,DE,54.9079,8.3033,57.22,77,75,20.71,broken clouds
188,Portage,US,41.1667,-81.1998,55.81,64,0,9.22,clear sky
189,Sisimiut,GL,66.9395,-53.6735,31.78,81,91,9.51,overcast clouds
190,Almaznyy,RU,48.0448,40.045,63.28,81,100,15.48,light rain
191,Boyolangu,ID,-8.1181,111.8935,76.19,91,97,4.7,light rain
